"concept","preference","country","gender","word"
"Green maize","Preferred","Kenya","Female","high yield"
"Resilience","Preferred","Kenya","Male","drought seasons good yield wants"
"Drought avoidance","Preferred","Kenya","Female","maturity fast"
"Home use","Preferred","Kenya","Male","main growing maize household consumption mainly household uses"
"Drought avoidance","Preferred","Kenya","Female","drought resistant takes shorter periods months harvest"
"Food and fodder","Preferred","Kenya","Male","livestock human"
"Intercropping (with beans)","Preferred","Kenya","Male","productive"
"Drought avoidance","Preferred","Kenya","Female","maturity early"
"Drought avoidance","Preferred","Kenya","Male","drought resistant requires less fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Female","double yield low uses fertilizer"
"Food and fodder","Preferred","Kenya","Female","good livestock human consumption large cobs"
"Resilience","Preferred","Kenya","Male","resistant disease drought"
"Intercropping (with beans)","Preferred","Kenya","Female","higher yield expected"
"Drought avoidance","Preferred","Kenya","Female","bring forth yield drought rainfall seasons"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop still better good small parcel land doesnt need lot fertilizer"
"Livestock feed","Preferred","Kenya","Male","reared livestock good source fodder"
"Food and fodder","Preferred","Kenya","Male","livestock household uses"
"Intercropping (with beans)","Preferred","Kenya","Female","good intercrop"
"Green maize","Preferred","Kenya","Male","high yield whether harvested green drought good taste green maize meal"
"Drought avoidance","Preferred","Kenya","Female","plant january drought seasons still harvest"
"Family nutrition","Preferred","Kenya","Female","highly nutritious high yield market"
"Food and fodder","Preferred","Kenya","Female","purposes fodder livestock food household"
"Food and fodder","Preferred","Kenya","Male","livestock fodder household consumption"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Family nutrition","Preferred","Kenya","Male","lot nutrient"
"Drought avoidance","Preferred","Kenya","Male","less maturity time"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield nutrient soil"
"Home use","Preferred","Kenya","Female","importance mostly household based"
"Intercropping (with beans)","Preferred","Kenya","Male","intercropmore nutrient added soil big maize cobs"
"Resilience","Preferred","Kenya","Female","still harvest harsh environmental conditions"
"Family nutrition","Preferred","Kenya","Female","drought"
"Drought avoidance","Preferred","Kenya","Female","rainfall drought seasons"
"Green maize","Preferred","Kenya","Female","less normal uses"
"Family nutrition","Preferred","Kenya","Female","contains nutritious high yield drought rainfall seasons"
"Home use","Preferred","Kenya","Male","pest resistant"
"Drought avoidance","Preferred","Kenya","Female","still farmer harvest incase drought"
"Intercropping (with beans)","Preferred","Kenya","Male","low fertilizer"
"Drought avoidance","Preferred","Kenya","Female","perform rainfall droughts seasons"
"Green maize","Preferred","Kenya","Female","good commercial uses"
"Drought avoidance","Preferred","Kenya","Female","farmer sure harvest despite drought"
"Family nutrition","Preferred","Kenya","Male","presence nutritious"
"Family nutrition","Preferred","Kenya","Male","nutritious children"
"Resilience","Preferred","Kenya","Female","resilient disease"
"Drought avoidance","Preferred","Kenya","Female","adopts changing climate especially drought seasons"
"Family nutrition","Preferred","Kenya","Male","highly nutritive nutritious"
"Drought avoidance","Preferred","Kenya","Female","intercrop another crop"
"Resilience","Preferred","Kenya","Male","tolerance disease drought resistant"
"Food and fodder","Preferred","Kenya","Male","food fodder livestock"
"Drought avoidance","Preferred","Kenya","Male","withstand drought"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods"
"Family nutrition","Preferred","Kenya","Male","high nutrition value ready market"
"Home use","Preferred","Kenya","Female","shorter maturity periods"
"Food and fodder","Preferred","Kenya","Male","uses livestock fodder"
"Home use","Preferred","Kenya","Female","good household uses"
"Intercropping (with beans)","Preferred","Kenya","Female","good harvest less input uses"
"Drought avoidance","Preferred","Kenya","Male","ability withstand drought good quality maize"
"Family nutrition","Preferred","Kenya","Male","nutritious contents withstand drought disease moderately"
